species,deciduous_t,deciduous_d,condition,deciduous_D
Columba palumbus,65,290,t < d,870
Dryocopus martius,252,217,t > d,868
Columba oenas,NA,333,NA,NA
Accipiter nisus,NA,155,NA,NA
Cuculus canorus,146,351,t < d,1053
Turdus philomelos,50,134,t < d,402
Turdus merula,53,123,t < d,369
Dendrocopos major,63,66,t < d,198
Loxia curvirostra,NA,82,NA,NA
Oriolus oriolus,146,152,t < d,456
Anthus trivialis,NA,69,NA,NA
Lullula arborea,NA,100,NA,NA
Parus major,45,190,t < d,570
Sylvia atricapilla,40,86,t < d,258
Luscinia megarhynchos,NA,90,NA,NA
Fringilla coelebs,26,90,t < d,270
Prunella modularis,178,37,t > d,148
Erithacus rubecula,38,42,t < d,126
Ficedula hypoleuca,126,33,t > d,132
Lophophanes cristatus,126,108,t > d,432
Cyanistes caeruleus,56,144,t < d,432
Troglodytes troglodytes,61,78,t < d,234
Ficedula parva,113,64,t > d,256
Phylloscopus trochilus,NA,101,NA,NA
Poecile palustris,80,81,t < d,243
Certhia brachydactyla,NA,92,NA,NA
Certhia familiaris,89,143,t < d,429
Phylloscopus sibilatrix,36,143,t < d,429
Aegithalos caudatus,252,22,t > d,88
Phylloscopus collybita,113,69,t > d,276
Regulus regulus,89,68,t > d,272
